transaction_id,amount,balance_before,time_of_day,day_of_week,transaction_type,recipient_frequency,location_match,device_match,transaction_frequency,account_age_days,balance_after,transaction_velocity,is_fraud
1,59481.9572482712,16741.503497281716,2,2,Transfer,14.555383938824061,1,1,10,413,-42740.45375098949,3,0
2,16705.13435662977,6047.940527668098,20,3,Transfer,0.1010299443393002,0,1,10,338,-10657.19382896167,3,0
3,80448.86757613998,4518.569726827991,2,5,Transfer,2.946775492310223,1,1,11,202,-75930.29784931199,5,0
4,463267.40401257784,5619.522917047866,1,1,Withdrawal,7.719637325401228,0,1,14,959,-457647.88109553,3,0
5,13789.921118198483,29560.598698410096,2,2,Transfer,11.983402352506127,1,1,8,204,15770.677580211614,1,0
6,13790.373925253602,3531.446615620495,16,5,Transfer,6.651024356625623,1,1,12,889,-10258.927309633107,5,0
7,518360.192034497,17509.416873237882,13,1,Deposit,10.96380077914251,1,1,9,333,-500850.7751612591,1,0
8,102218.65336090844,37906.78539379724,6,6,Transfer,0.17486355204287185,1,1,10,101,-64311.867967111204,1,0
9,8613.20033503318,15423.060159253526,21,1,Deposit,0.5261147328359751,0,0,14,190,6809.859824220346,6,0
10,65193.82841167668,38402.09578182636,20,2,Deposit,6.69183865440516,1,1,10,215,-26791.732629850318,2,0
11,8718.169842040388,37527.88487214571,5,4,Transfer,6.998483913375887,1,1,7,545,28809.715030105323,1,0
12,8677.949029927022,13045.5294990276,7,3,Transfer,4.647784760109662,1,1,6,834,4367.580469100578,3,0
13,35736.381666095804,36712.28682454453,18,5,Transfer,6.551789647991341,1,1,10,798,975.9051584487243,4,0
14,479.83366408269995,37641.05527533293,18,2,Deposit,9.76151189168792,1,1,13,419,37161.221611250236,5,0
15,699.3590935313688,20475.242357684318,11,1,Airtime,3.9425944228345324,1,1,4,286,19775.883264152948,5,0
16,7153.985847249305,11310.603703334393,4,5,Transfer,14.71801099198569,1,1,12,20,4156.617856085088,3,0
17,2905.4331388686796,26542.269537701588,4,0,Withdrawal,5.924735572570734,1,1,18,474,23636.836398832907,5,0
18,41294.91571474996,46148.48181200962,13,6,Withdrawal,3.1931253319309043,1,1,11,307,4853.56609725966,0,0
19,3582.9861397381624,32341.219889171036,16,0,Withdrawal,2.736740308304806,1,1,5,866,28758.233749432875,5,0
20,1306.873075166024,9473.2023837358,15,5,Withdrawal,6.934808830153508,1,1,9,46,8166.329308569775,1,0
21,413039.09886730986,34455.08931194247,3,5,Transfer,4.977606169451024,1,1,8,822,-378584.0095553674,4,0
22,14022.905783990296,21932.948336809895,7,1,Transfer,8.503474220852747,1,1,11,625,7910.042552819599,3,0
23,25211.522457547293,29984.911070413276,2,2,Bill Payment,7.593104117353482,1,1,9,216,4773.388612865983,6,0
24,1274.7477916732255,36969.13771613229,20,4,Deposit,3.7138167343093964,1,1,20,401,35694.389924459065,2,0
25,7414.809410089357,26232.420224207795,4,2,Transfer,14.566320115135227,1,1,12,250,18817.610814118438,5,0
26,27497.35726053068,40885.21475409212,22,3,Transfer,6.091326742547263,1,1,9,98,13387.857493561442,4,0
27,2203.9640197349195,36385.62338651476,23,5,Transfer,1.1209679353012585,1,1,7,494,34181.65936677984,5,0
28,46695.1711443773,31138.593660907023,6,0,Bill Payment,4.818054039219764,1,1,9,755,-15556.577483470279,1,0
29,6625.774966988078,8388.847975785222,17,1,Deposit,1.1270622157436716,1,1,6,84,1763.0730087971442,4,0
30,12290.876281856004,41961.506434666844,23,4,Withdrawal,4.091843638359812,1,1,10,229,29670.630152810838,4,0
31,6611.638443246791,46859.373680670986,7,6,Transfer,7.801678325166664,1,1,11,820,40247.7352374242,3,0
32,894979.7479551258,7711.291066655446,10,2,Transfer,8.370024630831184,0,1,6,518,-887268.4568884703,3,0
33,21439.82709437381,24923.815342238096,13,3,Transfer,5.260910509335558,1,1,9,995,3483.9882478642867,3,0
34,2656.0043332459545,13685.54835655472,17,2,Deposit,7.646349262172819,0,1,11,264,11029.544023308765,5,0
35,114129.58863727249,37971.64206385267,12,6,Transfer,3.1955269725081283,1,1,5,219,-76157.94657341982,3,0
36,1916.6088894956351,36359.8521642303,5,3,Transfer,3.99983096400576,1,1,12,176,34443.24327473467,4,0
37,33447.32826966181,7903.370907949537,12,2,Transfer,10.584968582884965,1,1,7,898,-25543.957361712273,5,0
38,437.3176208431773,43974.33629182022,0,4,Withdrawal,3.3970168082859398,1,1,8,137,43537.01867097704,1,0
39,1546.3118179858086,9867.680134922111,10,4,Transfer,2.161066528753856,1,1,8,215,8321.368316936303,2,0
40,32653.99454848495,40065.69225675727,6,1,Deposit,7.972563483965876,0,1,5,472,7411.697708272321,2,0
41,96464.7716438606,23392.03762177224,9,4,Bill Payment,0.2589602395682166,1,1,11,342,-73072.73402208836,2,0
42,31030.831768358774,17085.34238434941,1,3,Transfer,15.893112041234527,1,1,9,526,-13945.489384009365,3,0
43,17478.09104376886,8753.723871036462,15,1,Transfer,2.0780711166301655,1,1,3,661,-8724.3671727324,4,0
44,12061.726374347772,9213.09855118484,4,6,Bill Payment,4.966077028691855,1,1,11,460,-2848.627823162933,6,0
45,1144.7665620513671,33432.637180344114,15,4,Withdrawal,5.783144654264828,1,1,11,373,32287.87061829275,0,0
46,5220.307479238481,27971.089009408905,22,0,Withdrawal,0.7371558423823221,0,1,5,382,22750.781530170425,9,0
47,8766.758967727375,6982.1856609104025,15,6,Transfer,8.654081458104185,1,1,8,167,-1784.573306816973,1,0
48,182452.37379452924,6522.195161477935,14,3,Airtime,4.244480202063577,1,1,12,100,-175930.1786330513,3,0
49,43793.320254831495,4543.218163866782,8,6,Transfer,1.9869536009858613,1,0,14,225,-39250.10209096471,4,0
50,648.0187876859765,37444.60002130366,0,6,Airtime,9.508514764118695,0,1,10,438,36796.58123361768,2,0
51,42115.36589839941,35882.22217623517,8,1,Bill Payment,4.905218090291323,0,1,10,695,-6233.143722164241,5,0
52,10196.863369305003,3863.1185518741822,10,3,Deposit,7.703716060352374,1,1,6,961,-6333.744817430821,1,0
53,5688.239059747224,28453.233704251674,4,1,Deposit,24.339027263351575,1,1,7,663,22764.994644504448,4,0
54,74858.32287206447,5149.131606891805,5,3,Withdrawal,0.6978991445824017,1,1,6,171,-69709.19126517266,4,0
55,173164.80412001626,45283.54275983814,7,0,Transfer,6.923407987543443,1,1,8,762,-127881.26136017812,4,0
56,141854.93618153164,45448.75353982649,14,6,Deposit,7.087295048048475,1,1,10,114,-96406.18264170515,0,0
57,4111.5894225770535,35213.41650084338,15,4,Bill Payment,10.384809655226652,1,0,9,503,31101.827078266324,4,0
58,11867.694603342654,46383.25715053305,17,2,Transfer,2.6217960593695633,1,1,8,506,34515.56254719039,3,0
59,42724.45973824293,40761.198490270835,11,6,Bill Payment,10.187711102072717,1,1,14,571,-1963.261247972092,5,0
60,154986.02867292563,41598.39022042542,22,2,Withdrawal,5.106634802432546,1,1,15,818,-113387.63845250022,3,0
61,8447.717151868952,28915.68467792673,3,2,Withdrawal,0.35625659389340525,1,1,11,963,20467.96752605778,3,0
62,15194.397398329033,15996.900712592618,21,6,Transfer,0.1601204569185283,1,1,10,727,802.5033142635857,4,0
63,2409.874744717884,11672.156640704658,15,1,Transfer,3.283935600949153,1,1,10,178,9262.281895986773,4,0
64,2013.4133640741038,17032.801079907527,22,4,Bill Payment,7.7049743078128055,1,1,13,244,15019.387715833423,1,0
65,111865.40032989095,31796.27607436404,10,6,Transfer,2.424421196947742,1,1,11,318,-80069.12425552691,1,0
66,331863.8445954359,9460.170255787547,21,5,Withdrawal,9.547047696820629,1,1,18,78,-322403.67433964834,4,0
67,19072.060782069864,13673.371595228758,23,1,Withdrawal,3.3875702502810014,1,1,5,713,-5398.689186841106,1,0
68,163908.85592868892,23934.982276977757,21,6,Transfer,0.13320096605739581,1,1,5,438,-139973.87365171115,0,0
69,45400.21183988285,12419.454827706162,6,6,Withdrawal,18.184293532739233,1,1,15,811,-32980.75701217669,2,0
70,6061.790459510276,29843.53981608702,23,1,Transfer,3.3629179849364386,0,1,4,760,23781.749356576744,2,0
71,45378.38689142533,46235.62539436016,14,6,Deposit,5.25105352853058,1,1,11,894,857.2385029348297,4,0
72,477382.4033818245,37656.37891945319,16,1,Transfer,1.1112773265876956,1,1,9,539,-439726.0244623713,3,0
73,20503.439299873386,33654.90409329673,14,6,Withdrawal,1.7643443056546806,0,1,6,431,13151.464793423347,3,0
74,503473.9800376897,29553.35232320516,9,5,Bill Payment,3.3110000802092285,1,1,14,336,-473920.6277144845,3,0
75,116.80545719008458,24909.44755359618,3,6,Transfer,9.696283759936973,1,1,10,537,24792.642096406096,2,0
76,113983.04733723456,10141.629122098326,21,1,Deposit,0.537671187919914,0,1,8,796,-103841.41821513623,4,0
77,26215.185903537615,44840.81231591641,16,4,Deposit,7.578364950092532,1,0,15,192,18625.626412378795,1,0
78,12112.403619637167,13178.264098628979,3,6,Transfer,4.3297800704201475,1,1,8,153,1065.8604789918118,3,0
79,26463.49600447139,5474.135001329877,21,2,Deposit,3.4623897644577473,1,1,8,415,-20989.361003141516,1,0
80,413.58463405445497,37750.74378220607,22,3,Bill Payment,10.461130950869615,0,1,11,343,37337.159148151615,2,0
81,14195.158352040396,9605.161182227153,21,1,Airtime,0.6284971880870875,1,1,11,843,-4589.997169813243,1,0
82,44991.332676998114,19222.903977517624,10,6,Transfer,23.417899088220903,1,1,12,814,-25768.42869948049,4,0
83,423279.5394314071,2385.9614862580065,3,4,Withdrawal,9.642483721673676,1,1,11,106,-420893.5779451491,4,0
84,7812.338043929106,7716.329184481956,11,0,Withdrawal,1.97067466421577,1,1,8,802,-96.00885944714992,0,0
85,4372.161526161749,9486.977907235692,22,3,Airtime,3.0035369782184915,1,1,10,268,5114.816381073943,2,0
86,8074.658957478125,3666.0962597587195,9,1,Transfer,0.12660601283393375,1,1,11,347,-4408.562697719405,2,0
87,137420.9656288708,33176.19087451941,13,1,Bill Payment,3.7496988613026843,1,1,16,283,-104244.77475435138,4,0
88,42510.322990784356,42013.38199435274,17,6,Bill Payment,3.967264370495766,1,1,12,438,-496.9409964316146,3,0
89,7634.857798022983,19292.45491193111,5,3,Bill Payment,13.05750382078245,1,1,10,248,11657.597113908127,3,0
90,61484.16040470329,43854.24735919183,4,3,Deposit,2.454507791877972,1,1,11,108,-17629.913045511457,1,0
91,26746.39825794834,11453.982153446199,1,1,Transfer,4.227041026261001,0,1,8,301,-15292.416104502143,5,0
92,152861.86983606062,16944.130754500737,12,4,Withdrawal,6.747254365586784,1,1,12,916,-135917.73908155988,3,0
93,5409.401905652939,8386.11265852725,22,0,Transfer,4.689058759856514,1,1,7,201,2976.7107528743118,3,0
94,11437.763033736126,31407.400575530934,13,6,Deposit,0.8490441132191058,1,1,6,456,19969.637541794807,2,0
95,10054.581635527222,21573.609952645034,2,4,Deposit,0.9425951672593137,1,1,2,305,11519.028317117813,0,0
96,1179.646508763799,31050.883995253036,22,5,Transfer,0.7444696975172329,1,1,12,504,29871.237486489237,2,0
97,39824.61845247743,38322.070364315,10,2,Transfer,1.2277700100227469,1,1,15,13,-1502.5480881624317,2,0
98,37127.40088658835,27739.447785614473,21,2,Transfer,1.989938966150474,1,1,16,681,-9387.953100973878,0,0
99,22252.88435855388,31753.887390187607,22,2,Transfer,6.728976156794503,1,1,11,252,9501.003031633725,1,0
100,13777.963310565327,46827.265405322316,3,1,Deposit,0.3143039669558827,1,1,8,449,33049.30209475699,0,0
101,1298.8811459356173,15654.151170833313,12,6,Transfer,8.58636744320114,1,1,10,892,14355.270024897696,3,0
102,9496.792172075493,18599.0329930637,7,6,Bill Payment,1.522191114573022,1,1,10,441,9102.240820988209,3,0
103,11098.563527027414,36167.46472375751,7,0,Deposit,4.752129985766517,1,1,12,65,25068.901196730098,2,0
104,4426.8584658691125,30953.970335713948,22,0,Withdrawal,4.023392988597244,1,1,17,426,26527.111869844834,2,0
105,15953.421138707161,9748.112322446026,12,6,Transfer,0.8363110197788809,1,1,8,55,-6205.308816261135,0,0
106,49419.56679045236,19431.218190514017,22,5,Bill Payment,1.6934536572746852,0,1,13,546,-29988.34859993834,5,0
107,957778.4837727075,23924.062643111032,9,1,Airtime,1.75432306377691,1,1,8,927,-933854.4211295965,2,0
108,31230.661314323865,21550.102060451078,12,1,Transfer,4.888575167828974,0,1,6,260,-9680.559253872787,5,0
109,36868.05664153073,9735.46560778,12,1,Transfer,7.767663121084242,1,1,14,703,-27132.591033750734,7,0
110,18979.375498119363,46297.074497428854,23,0,Withdrawal,27.981745110686987,1,1,9,975,27317.69899930949,5,0
111,474.59298802676034,38353.619323004816,16,1,Withdrawal,0.5040612285710973,1,1,13,317,37879.02633497806,2,0
112,20888.880212183085,24586.43577328476,5,3,Transfer,13.957169158411862,1,1,12,143,3697.5555611016753,3,0
113,24846.20789004577,34322.990387034995,1,3,Bill Payment,4.122274855270788,1,1,11,952,9476.782496989224,3,0
114,3037314.2878840617,44966.85093464057,16,3,Deposit,2.2062476069754164,1,1,5,824,-2992347.436949421,4,0
115,14992.090941141421,7672.532975716989,11,1,Withdrawal,1.6743909753558928,1,1,11,615,-7319.557965424432,4,0
116,40259.234482438784,13268.279484641907,22,3,Transfer,1.172542620623442,1,1,6,980,-26990.954997796878,1,0
117,20549.182961911032,27592.361115575608,5,6,Transfer,4.071770054973305,1,1,6,4,7043.178153664576,5,0
118,2127.374618021545,40151.508196265575,4,5,Transfer,14.595424354212064,0,1,7,726,38024.13357824403,5,0
119,216564.91699471616,2776.4898766348415,4,1,Transfer,1.0054177625177876,0,1,9,954,-213788.4271180813,1,0
120,99098.15131224065,49216.889359621666,8,5,Airtime,2.8649862866755282,1,1,6,398,-49881.26195261898,2,0
121,107158.4537381721,23290.423541237462,21,3,Withdrawal,1.1398266022142949,1,1,4,725,-83868.03019693465,8,0
122,3573.229509690048,18602.325890464428,2,1,Bill Payment,0.9656813948238513,1,1,11,793,15029.09638077438,6,0
123,364247.4130382082,15343.49745414882,22,4,Airtime,10.077335491000204,1,1,9,981,-348903.9155840594,5,0
124,1334.4811911168624,9543.47867489271,19,2,Transfer,1.5188035123766577,0,1,15,742,8208.99748377585,1,0
125,71233.19335722202,39787.121537571365,4,4,Transfer,1.4249075096464243,1,1,13,264,-31446.07181965065,4,0
126,1760152.9235491492,47815.29407255873,6,2,Bill Payment,12.028201924443518,1,1,13,666,-1712337.6294765905,3,0
127,3037.916962213725,21268.592987424512,11,2,Deposit,2.439129817918146,1,1,8,302,18230.676025210785,2,0
128,7096.837496666943,47668.614042919355,6,3,Withdrawal,0.043774446437641015,1,1,9,628,40571.77654625241,3,0
129,26884.433832905,41366.08315631667,9,2,Deposit,6.386045680213161,1,1,8,74,14481.649323411672,2,0
130,8046.952214009843,24571.505246339595,7,2,Bill Payment,3.638817413047064,1,1,8,490,16524.55303232975,1,0
131,990.9589769550172,34027.2827771805,16,4,Deposit,7.439009224636795,1,1,9,994,33036.32380022549,2,0
132,25263.752745388487,22314.224779352684,4,2,Bill Payment,4.223276691695501,1,1,8,882,-2949.527966035803,5,0
133,2631.7191282175672,28377.44700241507,14,1,Airtime,2.1636718248003945,1,1,12,397,25745.727874197502,4,0
134,56793.93729625434,3844.270513906687,8,5,Withdrawal,0.34441593991590214,1,1,13,400,-52949.66678234765,6,0
135,3502.2171961755016,35116.910289726125,22,6,Deposit,10.047213143636762,1,1,6,891,31614.693093550624,5,0
136,488878.2744846014,3588.4075797226988,10,5,Transfer,1.1601940763489922,1,1,5,157,-485289.8669048787,7,0
137,4598.5366639166405,41037.16239906283,12,1,Transfer,17.762657581558464,1,1,18,437,36438.62573514619,1,0
138,11566.600624910792,41422.39954356731,17,6,Withdrawal,1.4107222006045486,1,1,4,368,29855.79891865652,2,0
139,112087.42596388099,12616.787090254515,16,3,Transfer,8.773347462711094,1,1,13,992,-99470.63887362648,5,0
140,1878.5798419255011,16859.47627075421,23,6,Airtime,7.773522598054696,1,1,7,786,14980.89642882871,3,0
141,34714.747276444956,24584.20854935637,8,6,Withdrawal,3.1064320403415353,1,1,12,541,-10130.538727088584,1,0
142,300825.46003953804,30236.482439691594,9,4,Airtime,2.568347194715904,1,1,5,146,-270588.97759984643,1,0
143,884.5097448358107,15080.329425357839,4,6,Transfer,6.074489585029779,1,1,7,900,14195.819680522029,1,0
144,31865.13413014348,30031.83382696433,10,6,Bill Payment,3.7597377724632204,1,1,13,663,-1833.3003031791523,8,0
145,37040.44076887105,15591.566588235644,21,0,Withdrawal,4.99779321460199,1,1,8,337,-21448.874180635405,1,0
146,105202.85771989923,3719.045332481973,14,5,Bill Payment,3.176424408116384,1,1,7,101,-101483.81238741726,3,0
147,1855.850904039013,1123.8499417635385,1,4,Transfer,4.072673072459435,1,1,13,671,-732.0009622754744,3,0
148,1570.4017759179897,5956.401838003001,20,5,Deposit,1.0483612429279285,1,1,9,979,4386.000062085011,2,0
149,62560.10985636995,39820.28430803689,19,0,Deposit,0.2849493170706648,0,1,8,163,-22739.825548333058,1,0
150,39893.526494375925,48110.13430678352,23,2,Transfer,2.199690538294954,1,1,8,888,8216.607812407594,4,0
151,36351.31653832957,21921.343764779744,23,0,Transfer,3.1355047618464993,1,1,9,428,-14429.972773549827,4,0
152,44041.88619243984,26121.513719047194,13,2,Bill Payment,11.823877548659912,1,1,12,221,-17920.372473392643,1,0
